00-01670A01-000	Elbow pads 2.0
01-200B09	Herma 25 mm buckle
01-202B	Herma 25 mm repair buckle
07-01927A09	Fleece jacket 1.0
08-00523-14-XXX	Flight suit other -09
08-01056-14-XXX	Tactical coverall 09F
10-00215-	Braces
10-00486-01-000	Belt adjuster -09
11-00498-	Rigid trouser belt -05
11-01295B09-000	Elastic trousers belt 1.1
11-01426-	Covert equipment belt -17
12-00507-	Basic Equipment belt
12-01757A01-000	Covert elastic equipment belt 2.0
13-00327-	Comfort belt-13
13-00483-	Police Equipment belt -09
13-01864A	Ribs combat belt 1.0
13-01897-	Light combat belt 1.0
14-00101-	Small leg panel -12
15-00492-01-000	Dual side covert equipment harness -11
15-00602-01-000	Single side covert equipment harness -11
15-00607-01-000	EQUIPMENT BELT HARNESS -10
15-01029-	Combat belt harness -14
16-01868A09-000	Ribs Chest rig 1.0
17-00642-	Plate carrier, Strap on DF -13
17-00944-	Squeeze vest/plate carrier
17-00944--2	Squeeze ballistic front and back 1.3 S2
18-00095-	COVERT EQUIPMENT VEST -12 FIN
18-00484-	Covert surveillance vest -05
18-00575-	Technical equipment vest 2.0
18-01162-	Equipment vest -16
19-01098-	Covert stretch vest -16
20-00248-	Dual Magazine pouch -18
20-00494-01-000	Modular Key holder -05
20-00499	Telescopic baton holder -08
20-00500-01-000	Glove holder -05
20-00531	Combination glove holder -09
20-00560-01-000	Regular Key silencer -05
20-00561-01-000	Large key silencer-05
20-02044A09-000	Trauma shears holder 1.0
20-02045A09-000	T-Tape holder 1.0
21-00057-01-000	Double handcuff pouch -11
21-00144-	VIRVE pouch, Basic-11
21-00167	GP pouch 2
21-00270-	Radio pouch -15
21-0029821	GP pouch 3
21-00309	Small Admin pouch
21-00349-	8×19 pouch -14
21-00485-01-000	Handcuff pouch -09
21-00495-01-000	Topless Handcuff pouch 06
21-01078-	Virve radio pouch -10
21-01101-01-000	Canister pouch -15
21-01166-	Trauma pouch -17
21-01590B09-000	1L Bottle pouch -18
21-01701A01-556	Elastic pouch 1.0
21-01774A	Oyster pouch 1.0
22-00301B	Small dump pouch 2.0
22-00452-01-000	SMG Magazine pouch 14
22-00519-	Zipped dump bag -10
22-00527-	Grenade pouch -10
22-01888A	Speed magazine pouch 2.0
22-02066B	Micro dump pouch 2.0
23-00420-	Medium Admin pouch -18
23-00571-XX-000	Gas mask bag -11
24-00350-09-000	Padded pouch -12
25-01167-09-000	Trauma pouch insert -17
26-00280-01-000	Elastic 40 mm T-bar set -12
26-00428-09-000	Duffel Strap-12
26-00487-	I-Bar set -10
26-00487B	Herma I-bar set 1.0
26-00491-	T-bar set -12
26-00491--1	Herma T-bar set 1.0
