Product,B2B EUR,Expected CHF,Current CHF,Difference,Percent,Status,Product ID
"34×100 cm dual Weapon bag -11",335.7,538.80,68.20,-470.60,-87.3%,CRITICAL,
"Back holder 2.0",114.31,183.47,600.05,416.58,227.1%,CRITICAL,
"34×64 cm dual Weapon bag -11",48.95,78.56,467.55,388.99,495.2%,CRITICAL,
"Organized bag -11",211.31,339.15,68.20,-270.95,-79.9%,CRITICAL,
"50L Mission backpack 2.0",244.49,392.41,600.05,207.64,52.9%,CRITICAL,
"Light combat belt 1.0",75.51,121.19,277.95,156.76,129.4%,CRITICAL,
"Ribs combat belt 1.0",103.58,166.25,277.95,111.70,67.2%,CRITICAL,
"230 Roller bag -15",494.04,792.93,688.10,-104.83,-13.2%,MEDIUM,
"100L Backpack 2.0",430.84,691.50,600.05,-91.45,-13.2%,MEDIUM,
"30×61 cm Weapon bag -13",309.55,496.83,431.15,-65.68,-13.2%,MEDIUM,
"40L protective insert",298.75,479.49,416.10,-63.39,-13.2%,MEDIUM,
"Elastic insert stripes (6) -10",20.37,32.69,86.30,53.61,164.0%,CRITICAL,
"Low profile 3L hydration bladder",58.6,94.05,40.45,-53.60,-57.0%,CRITICAL,
"30L protective insert 1.1",227.55,365.22,316.95,-48.27,-13.2%,MEDIUM,
"40L Specialist backpack",209.27,335.88,291.45,-44.43,-13.2%,MEDIUM,
"30-40L Combat backpack 1.0",199.57,320.31,277.95,-42.36,-13.2%,MEDIUM,
"30L Specialist backpack",160.76,258.02,223.90,-34.12,-13.2%,MEDIUM,
"10L Multi-purpose bag",146.47,235.08,204.00,-31.08,-13.2%,MEDIUM,
"30L Mission backpack 1.1",135.24,217.06,188.35,-28.71,-13.2%,MEDIUM,
"Medium Admin pouch -18",39.26,63.01,35.55,-27.46,-43.6%,HIGH,
"Covert stretch vest -16",73.46,117.90,93.45,-24.45,-20.7%,HIGH,
"15-20L All pack",107.11,171.91,149.20,-22.71,-13.2%,MEDIUM,
"30L Waterproof mission backpack 1.0",97.48,156.46,135.75,-20.71,-13.2%,MEDIUM,
"40L Velcro and webbing  panel -10",91.12,146.25,126.90,-19.35,-13.2%,MEDIUM,
"Dual Magazine pouch -18",33.64,53.99,35.55,-18.44,-34.2%,HIGH,
"3L Multipurpose bag -15",85.72,137.58,119.40,-18.18,-13.2%,MEDIUM,
"Gas mask bag -11",52.03,83.51,68.20,-15.31,-18.3%,MEDIUM,
"3 row cummerbund 1.0",68.87,110.54,95.90,-14.64,-13.2%,MEDIUM,
"2,5L hydration cover -16",67.09,107.68,93.45,-14.23,-13.2%,MEDIUM,
"30L insert wall -10",61.97,99.46,86.30,-13.16,-13.2%,MEDIUM,
"15L Princess backpack  -17",61.72,99.06,85.95,-13.11,-13.2%,MEDIUM,
"40L insert wall",47.43,76.13,66.05,-10.08,-13.2%,MEDIUM,
"1L Kangaroo hydration bladder",29.05,46.63,40.45,-6.18,-13.3%,MEDIUM,
"1L Bottle pouch -18",25.53,40.98,35.55,-5.43,-13.3%,MEDIUM,
"50 mm buckle adapter set",6.27,10.06,8.75,-1.31,-13.0%,MEDIUM,
