Product,RRP EUR,Expected CHF,Current CHF,Difference,Percent,Status,Product ID
"Tactical coverall 09F Briefs",1167.99,1249.75,82.15,-1167.60,-93.4%,CRITICAL,
"Flight suit, Pilot -09",1333.58,1426.93,321.35,-1105.58,-77.5%,CRITICAL,
"Flight suit other -09",1455.33,1557.20,497.20,-1060.00,-68.1%,CRITICAL,
"Tactical coverall BG -10F",2173.21,2325.33,1534.20,-791.13,-34.0%,HIGH,
"34&#215;64 cm dual Weapon bag -11",1165.5,1247.09,538.80,-708.29,-56.8%,CRITICAL,
"Ballistic thigh protection -15",512.42,548.29,822.45,274.16,50.0%,CRITICAL,
"Covert backpack -21",706.81,756.29,1021.00,264.71,35.0%,HIGH,
"100L Backpack 2.0",430.84,461.00,691.50,230.50,50.0%,HIGH,
"Tactical coverall, Digi  -09F",429.71,459.79,689.70,229.91,50.0%,CRITICAL,
"230 Roller bag -15",548.94,587.37,792.95,205.58,35.0%,HIGH,
"Hypothermal bag 1.1",335.07,358.52,537.80,179.28,50.0%,CRITICAL,
"Plate carrier, Strap on DF -13",333.33,356.66,535.00,178.34,50.0%,CRITICAL,
"Belt closure pack  (5) -11",46.5,49.76,212.05,162.29,326.1%,CRITICAL,
"34&#215;100 cm dual Weapon bag -11",373,399.11,538.80,139.69,35.0%,HIGH,
"50L Mission backpack 2.0",244.49,261.60,392.40,130.80,50.0%,HIGH,
"30&#215;61 cm Weapon bag -13",343.94,368.02,496.85,128.83,35.0%,HIGH,
"40L protective insert",331.94,355.18,479.50,124.32,35.0%,HIGH,
"Squeeze vest/plate carrier",216.92,232.10,348.15,116.05,50.0%,HIGH,
"Organized bag -11",211.31,226.10,339.15,113.05,50.0%,HIGH,
"40L Specialist backpack",209.27,223.92,335.90,111.98,50.0%,CRITICAL,
"30-40L Combat backpack 1.0",199.57,213.54,320.30,106.76,50.0%,HIGH,
"Medium Schwung bag 1.1",196.5,210.26,315.40,105.14,50.0%,CRITICAL,
"Squeeze ballistic front and back 1.3 S2",191.4,204.80,307.20,102.40,50.0%,HIGH,
"30L protective insert 1.1",252.83,270.53,365.20,94.67,35.0%,HIGH,
"Spotting Scope cover",173.58,185.73,278.60,92.87,50.0%,CRITICAL,
"Ribs Chest rig 1.0",242.62,259.60,350.45,90.85,35.0%,HIGH,
"30L Specialist backpack",160.76,172.01,258.00,85.99,50.0%,HIGH,
"Tactical coverall 09F",159.05,170.18,255.30,85.12,50.0%,CRITICAL,
"30L Mission backpack 1.1",135.24,144.71,217.05,72.34,50.0%,HIGH,
"Squeeze side panel pouch set -18",133.71,143.07,214.60,71.53,50.0%,HIGH,
"Covert surveillance vest -05",129.62,138.69,208.05,69.36,50.0%,CRITICAL,
"Covert equipment vest -12 FIN",127.07,135.96,203.95,67.99,50.0%,CRITICAL,
"Multi-tarp 1.0",178.21,190.68,257.45,66.77,35.0%,HIGH,
"90L Duffel bag 1.0",122.48,131.05,196.60,65.55,50.0%,CRITICAL,
"Equipment vest -16",119.41,127.77,191.65,63.88,50.0%,HIGH,
"Technical equipment vest 2.0",119.41,127.77,191.65,63.88,50.0%,HIGH,
"Back holder 2.0",114.31,122.31,183.45,61.14,50.0%,HIGH,
"15-20L All pack",107.11,114.61,171.90,57.29,50.0%,HIGH,
"Shotgun holder 1.0",105.59,112.98,169.45,56.47,50.0%,HIGH,
"Ribs combat belt 1.0",103.58,110.83,166.25,55.42,50.0%,CRITICAL,
"Backpack belt-12",146.8,157.08,212.05,54.97,35.0%,HIGH,
"Fleece jacket 1.0",95.93,102.65,153.95,51.30,50.0%,HIGH,
"55L Duffel bag -17",90.82,97.18,145.75,48.57,50.0%,HIGH,
"3L Multipurpose bag -15",85.72,91.72,137.60,45.88,50.0%,CRITICAL,
"Comfort belt-13",78.06,83.52,125.30,41.78,50.0%,CRITICAL,
"30L Waterproof mission backpack 1.0",108.31,115.89,156.45,40.56,35.0%,HIGH,
"Light combat belt 1.0",75.51,80.80,121.20,40.40,50.0%,CRITICAL,
"VIRVE pouch, Basic-11",73.45,78.59,117.90,39.31,50.0%,CRITICAL,
"Covert stretch vest -16",73.46,78.60,117.90,39.30,50.0%,CRITICAL,
"Side pockets pair 2.0",72.44,77.51,116.25,38.74,50.0%,HIGH,
"40L Velcro and webbing  panel -10",101.24,108.33,146.25,37.92,35.0%,HIGH,
"3 row cummerbund 1.0",68.87,73.69,110.55,36.86,50.0%,CRITICAL,
"Weapon sling system 1.0",68.87,73.69,110.55,36.86,50.0%,CRITICAL,
"2,5L hydration cover -16",67.09,71.79,107.70,35.91,50.0%,CRITICAL,
"Admin case",65.3,69.87,104.80,34.93,50.0%,HIGH,
"Squeeze quick adjust -17",63.77,68.23,102.35,34.12,50.0%,CRITICAL,
"15L Princess backpack  -17",61.72,66.04,99.05,33.01,50.0%,HIGH,
"Police Equipment belt -09",60.7,64.95,97.40,32.45,50.0%,HIGH,
"6L Funny pack",58.15,62.22,93.35,31.13,50.0%,CRITICAL,
"Elastic cumber band w compartments 1.0",57.64,61.67,92.50,30.83,50.0%,HIGH,
"Squeeze buckle closure 1.0",57.64,61.67,92.50,30.83,50.0%,HIGH,
