name;slug;article_no;ean;price;price_numeric;currency;weight;weight_g;dimensions;short_description;description;categories;colours;images;url
"Belt closure pack  (5) -11";belt-closure-pack-5-11;;;;0;EUR;;0;;;;;Black;"https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-32x32.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-192x192.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-180x180.png, https://products.snigel.se/wp-content/uploads/2020/03/13-00110-01-000.jpg, https://products.snigel.se/wp-content/uploads/2020/03/13-00110-01-000_DEFAULT.jpg";https://products.snigel.se/product/belt-closure-pack-5-11/
"Featherweight stretcher -09";featherweight-stretcher-09;;;;0;EUR;;0;;"An extremely light weight stretcher that always can be attached to the medic bag";;;Various;"https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-32x32.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-192x192.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-180x180.png, https://products.snigel.se/wp-content/uploads/2020/04/54-00540-09_1466.jpg, https://products.snigel.se/wp-content/uploads/2020/04/54-00540-09_1497b-1.jpg, https://products.snigel.se/wp-content/uploads/2020/04/54-00540-09_1489b-1.jpg, https://products.snigel.se/wp-content/uploads/2020/03/54-00540-08-000_DEFAULT.jpg, https://products.snigel.se/wp-content/uploads/2020/03/54-00540-08-000_2.jpg, https://products.snigel.se/wp-content/uploads/2020/04/21-01166-09_1465.jpg, https://products.snigel.se/wp-content/uploads/2020/03/54-00540-08-000_4.jpg, https://products.snigel.se/wp-content/uploads/2020/03/54-00540-08-000_7.jpg, https://products.snigel.se/wp-content/uploads/2020/03/54-00540-08-000_8.jpg, https://products.snigel.se/wp-content/uploads/2020/03/54-00540-08-000_11.jpg, https://products.snigel.se/wp-content/uploads/2020/03/54-00540-08-000_12.jpg, https://products.snigel.se/wp-content/uploads/2020/03/54-00540-08-000_13.jpg";https://products.snigel.se/product/featherweight-stretcher-09/
"Foldable drinking cup";foldable-drinking-cup-13;;;;0;EUR;;0;;;;;Khaki;"https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-32x32.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-192x192.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-180x180.png, https://products.snigel.se/wp-content/uploads/2020/04/48-00819A20_0147.jpg, https://products.snigel.se/wp-content/uploads/2020/04/48-00819A20_0149.jpg";https://products.snigel.se/product/foldable-drinking-cup-13/
"Plastic bag, ziplock A6 -09, 10 pack";plastic-bag-ziplock-a6-09-10-pack;;;;0;EUR;;0;;;;;Various;"https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-32x32.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-192x192.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-180x180.png, https://products.snigel.se/wp-content/uploads/2020/03/PBA6-09.jpg, https://products.snigel.se/wp-content/uploads/2020/03/PBA6-09_DEFAULT.jpg, https://products.snigel.se/wp-content/uploads/2020/03/PBA6-09_2.jpg, https://products.snigel.se/wp-content/uploads/2020/03/PBA6-09_3.jpg, https://products.snigel.se/wp-content/uploads/2020/03/PBA6-09_4.jpg, https://products.snigel.se/wp-content/uploads/2020/03/PBA6-09_5.jpg, https://products.snigel.se/wp-content/uploads/2020/03/PBA6-09_6.jpg, https://products.snigel.se/wp-content/uploads/2020/03/PBA6-09_7.jpg, https://products.snigel.se/wp-content/uploads/2020/03/PBA6-09_8.jpg, https://products.snigel.se/wp-content/uploads/2020/03/PBA6-09_9.jpg, https://products.snigel.se/wp-content/uploads/2020/03/PBA6-09_10.jpg, https://products.snigel.se/wp-content/uploads/2020/03/PBA6-09_11.jpg, https://products.snigel.se/wp-content/uploads/2020/03/PBA6-09_12.jpg";https://products.snigel.se/product/plastic-bag-ziplock-a6-09-10-pack/
"Sleeping bag cover with hood 2.0";sleeping-bag-cover-with-hood-2-0;;;;0;EUR;;0;;"A lightweight sleeping bag cover designed to ensure a comfortable night’s sleep for soldiers in any weather and at any location within their sleeping bag.";"• A light weight sleeping bag cover with a hood and zipped access, to protect your sleeping bag.
• Velcro patch by the opening and in the bottom where you can attach a name plate to identify you, so the correct soldier is awakened for duty in the night.
• Removable mosquito net attached with a zipper.
• Elastic cord around the opening.
• Zipper with flaps on the left side.
• All seams are taped.";;Swecam;"https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-32x32.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-192x192.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-180x180.png, https://products.snigel.se/wp-content/uploads/2020/04/53-02494A09_3693.jpg, https://products.snigel.se/wp-content/uploads/2020/04/E-MC-GTLD23_6982.jpg, https://products.snigel.se/wp-content/uploads/2020/04/53-02494A09_3695.jpg, https://products.snigel.se/wp-content/uploads/2020/04/53-02494A09_3696.jpg, https://products.snigel.se/wp-content/uploads/2020/04/53-02492A09_1648.jpg, https://products.snigel.se/wp-content/uploads/2020/04/53-02492A09_1632.jpg, https://products.snigel.se/wp-content/uploads/2020/04/E-MC-GTLD23_6991.jpg, https://products.snigel.se/wp-content/uploads/2020/04/51-02472A09_8999.jpg, https://products.snigel.se/wp-content/uploads/2020/04/51-02472A09_9001.jpg, https://products.snigel.se/wp-content/uploads/2020/04/51-02472A09_9003.jpg";https://products.snigel.se/product/sleeping-bag-cover-with-hood-2-0/
"Light field blanket 1.0";light-field-blanket-1-0;;;;0;EUR;;0;;"A light weight blanket to protect against cold, wind and rain.";;;Grey;"https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-32x32.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-192x192.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-180x180.png, https://products.snigel.se/wp-content/uploads/2020/04/53-02172A09_3570.jpg, https://products.snigel.se/wp-content/uploads/2021/07/E-MC-GTLD23_7045.jpg, https://products.snigel.se/wp-content/uploads/2021/07/E-MC-Mil-Boat_0899.jpg, https://products.snigel.se/wp-content/uploads/2021/07/E-MC-GTLD23_7334.jpg, https://products.snigel.se/wp-content/uploads/2020/04/53-02172A09_3571.jpg, https://products.snigel.se/wp-content/uploads/2020/04/53-02172A09_3572.jpg, https://products.snigel.se/wp-content/uploads/2020/04/53-02172A09_3573.jpg, https://products.snigel.se/wp-content/uploads/2021/07/E-Swe_4610.jpg, https://products.snigel.se/wp-content/uploads/2021/07/E-Swe_4621.jpg, https://products.snigel.se/wp-content/uploads/2021/07/E-MC-GTLD23_7427.jpg, https://products.snigel.se/wp-content/uploads/2021/07/E-MC-GTLD23_7051.jpg";https://products.snigel.se/product/light-field-blanket-1-0/
"Multi-tarp 1.0";multi-tarp-1-0;;;;0;EUR;;0;;"A lightweight Tarp that can be used as a tarp, poncho or a sleeping bag cover.";"• The tarp provides excellent shelter for one or two soldiers.
• Elastic cords are included to secure the tarp to trees or the ground.
• Water-resistant zippers are present along the long sides (3m) to connect multiple tarps and create a larger bivy.
• All seams are taped for added durability.
• The tarp can be used as a sleeping bag cover by closing the zipper and tying up the bottom.
• Length 300 cm, Width 200 cm.";;Grey;"https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-32x32.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-192x192.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-180x180.png, https://products.snigel.se/wp-content/uploads/2020/04/51-02472A09_3331B.jpg, https://products.snigel.se/wp-content/uploads/2020/04/51-02472A09_3331-kopiera.jpg, https://products.snigel.se/wp-content/uploads/2020/04/51-02471A09_8982.jpg, https://products.snigel.se/wp-content/uploads/2020/04/51-02495A09_3712.jpg";https://products.snigel.se/product/multi-tarp-1-0/
"Hypothermal bag 1.1";hypothermal-bag-1-1;;;;0;EUR;;0;;"A lightweight protection and transport system designed to ensure warmth, ease of examination, treatment, and moveability of wounded soldiers.";"• Carrying solution rated for 160kg.
• Spacious enough to accommodate a wounded soldier wearing a ballistic vest w. pouches
• Featuring dual-sided zipper openings for access to all parts of the body while minimizing heat loss.
• Crafted with waterproof materials both on the interior and exterior
• PU-coating facing the inside, fo cleanability.
• Three see-through pockets for triage-card and patient information.
• Insulated.
• Openablefootbox to make examining and loading easier.";;Swecam;"https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-32x32.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-192x192.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-180x180.png, https://products.snigel.se/wp-content/uploads/2020/04/54-02403B_9086.jpg, https://products.snigel.se/wp-content/uploads/2020/04/E-Grey-SKH-24_240528_5448-scaled.jpg, https://products.snigel.se/wp-content/uploads/2020/04/E-Grey-SKH-248_5478.jpg, https://products.snigel.se/wp-content/uploads/2020/04/54-02403B_9111.jpg, https://products.snigel.se/wp-content/uploads/2020/04/E-W-Ktf_240206_10732.jpg, https://products.snigel.se/wp-content/uploads/2020/04/54-02403B_9096.jpg, https://products.snigel.se/wp-content/uploads/2020/04/E-POL-RI-JKP_0778-.jpg, https://products.snigel.se/wp-content/uploads/2020/04/54-02403B_9100.jpg, https://products.snigel.se/wp-content/uploads/2020/04/54-02403B_9106.jpg, https://products.snigel.se/wp-content/uploads/2020/04/E-POL-RI-JKP_1124-.jpg, https://products.snigel.se/wp-content/uploads/2020/04/54-02403B_9108.jpg, https://products.snigel.se/wp-content/uploads/2020/04/E-Sol_3957.jpg, https://products.snigel.se/wp-content/uploads/2020/04/E-Grey-SKH-24_240528_5487-scaled.jpg";https://products.snigel.se/product/hypothermal-bag-1-1/
"A3 Commander’s aid 1.0";a3-commanders-aid-1-0;;;;0;EUR;;0;;"Delivered without content or strings";;"Tactical gear, Admin products, Miscellaneous products";Grey;"https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-32x32.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-192x192.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-180x180.png, https://products.snigel.se/wp-content/uploads/2020/03/52-01558A09-000.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-01558A09-000_DEFAULT.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-01558A09-000_2.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-01558A09-000_3.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-01558A09-000_4.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-01558A09-000_5.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-01558A09-000_6.jpg";https://products.snigel.se/product/a3-commanders-aid-1-0/
"A5 Field binder";a5-field-binder-07;;;;0;EUR;;0;;;;"Tactical gear, Admin products, Miscellaneous products";"Black, Grey";"https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-32x32.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-192x192.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-180x180.png, https://products.snigel.se/wp-content/uploads/2020/04/52-00506-09_1546.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00506-01-000_2.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00506-01-000_3.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00506-01-000_4.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00506-01-000_5.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00506-01-000_6.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00506-01-000_7.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00506-01-000_8.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00506-01-000_9.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00506-01-000_11.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00506-01-000_12.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00506-01-000_13.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00506-01-000_14.jpg";https://products.snigel.se/product/a5-field-binder-07/
"Police Notebook cover-10";police-notebook-cover-10;;;;0;EUR;;0;;"This is a light weight, flexible and durable protection for your notebook and at the same time it gives easy and quiet access to essential information.";"• Attachment for two pens on the inside
• Fits the police note book top hanged or side attached
• The cover is made of plastic and can withstand exposure to moisture and is very hard wearing
• It is closed with an elastic strap which will last longer than Velcro and is silent to use
• On the outside and the inside there is a tablet that you can write on with a pencil
• Wipe it clean with a wet finger when you don’t need the information any more or want to write something else
• Totally damp proof
• On the back there is a little window pocket for a memory card or a small map
• The folder has two loops to attach string. With the string attached you can carry the folder around your neck";"Police gear, Admin products, Miscellaneous products";Black;"https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-32x32.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-192x192.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-180x180.png, https://products.snigel.se/wp-content/uploads/2020/03/52-00490-01-000_3.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00490-01-000_DEFAULT.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00490-01-000_2.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00490-01-000_4.jpg";https://products.snigel.se/product/police-notebook-cover-10/
"Medium Notebook cover";medium-notebook-cover-07;;;;0;EUR;;0;;"This is a light weight, flexible and durable protection for your notebook and at the same time it gives easy and quiet access to essential information";;"Admin products, Multicam, Miscellaneous products";"Black, Grey, Multicam, Olive";"https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-32x32.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-192x192.png, https://products.snigel.se/wp-content/uploads/2019/11/cropped-snigel_icon-180x180.png, https://products.snigel.se/wp-content/uploads/2020/04/52-00489B09-012_0599.jpg, https://products.snigel.se/wp-content/uploads/2020/04/52-00489B09-012_0610.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00489-01-012_DEFAULT.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00489-01-012_3.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00489-01-012_4.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00489-01-012_5.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00489-01-012_8.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00489-01-012_9.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00489-01-012_10.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00489-01-012_11.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00489-01-012_12.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00489-01-012_13.jpg, https://products.snigel.se/wp-content/uploads/2020/03/52-00489-01-012_14.jpg, https://products.snigel.se/wp-content/uploads/2020/04/52-00489B09-012_0607.jpg, https://products.snigel.se/wp-content/uploads/2020/04/52-00489B09-012_0606.jpg, https://products.snigel.se/wp-content/uploads/2020/04/52-00489B09-012_0609-2.jpg, https://products.snigel.se/wp-content/uploads/2020/04/52-00490-01_1556.jpg";https://products.snigel.se/product/medium-notebook-cover-07/
